FIELD #,FIELD NAME,TYPE,TABLE,MAX LENGTH,DECIMAL,FIELD DEFINITION
90,TOTAL TAX AMOUNT,Numeric,,14,2,Total property tax amount for the current tax year.
91,NET TAX AMOUNT,Numeric,,13,2,Property tax amount less exemptions and/or credits.
92,TAX YEAR,Numeric,,4,,The tax year for which the taxes were billed.
93,ASSESSED YEAR,Numeric,,4,,The assessment year for which the taxes were billed.
94,TAX AREA CODE,AlphaNumeric,,10,,Identifies the tax area code associated with the parcel.
95,TOTAL PROPERTY TAX RATE PERCENT,Numeric,,7,3,County provided tax rate for the property based on Property Taxes billed through the county.
96,TAXABLE IMPROVEMENT VALUE,Numeric,,9,,County provided value of the improvement applied to the parcel used in the calculation of the tax bill.
97,TAXABLE LAND VALUE,Numeric,,9,,County provided land value of a parcel used in the calculation of the tax bill.
98,TAXABLE OTHER VALUE,Numeric,,9,,"County provided value of fixture, features or miscellaneous values used in the calculation of the tax bill."
99,NET TAXABLE VALUE,Numeric,,13,2,Assessed Value less exemptions or credits.
PARCEL ESSENTIALS PROPERTY SIZE V3,,,,,,
100,FRONT FOOTAGE,Numeric,,12,4,The linear feet across the front of the lot - facing the street.
101,DEPTH FOOTAGE,Numeric,,12,4,The linear feet between the front and back of the lot.
102,TOTAL NUMBER OF ACRES,Numeric,,14,4,CoreLogic derived or county provided value that indicates the total acreage of the parcel.
103,TOTAL LAND SQUARE FOOTAGE,Numeric,,9,,Total land mass in square feet.
104,LOT AREA DESCRIPTION,AlphaNumeric,,20,,"A textual description of the lot area, which may include size and unique attributes of the lot (e.g., irregular lot size)."
PARCEL ESSENTIALS STRUCTURE SIZE V3,,,,,,
105,UNIVERSAL BUILDING SQUARE FEET,Numeric,,9,,"The Building Square Footage that reflects the most accurate available for use in assessments or comparables (e.g., Living, Adjusted, Gross)."
106,UNIVERSAL BUILDING SQUARE FEET SOURCE CODE,AlphaNumeric,,1,,"The codes appearing in this field indicates the source used to populate the UNIVERSAL BUILDING SQUARE FEET field.A=ADJUSTED, B=TOTAL, D=GROUND FLOOR, G=GROSS, L=LIVING, M=BASE/MAIN"
107,BUILDING AREA SQUARE FEET,Numeric,,9,,The size of the building in square feet. This field is most commonly populated as an aggregate total when a county does not differentiate between living and non-living areas.
108,TOTAL LIVING AREA SQUARE FEET - ALL BUILDINGS,Numeric,,10,2,"This is the area of all buildings that are used for general living. This is typically the area of all buildings that is heated or air conditioned and generally does not include Garage, Porch or Unfinished Basement Square Footage values."
109,GROUND FLOOR AREA SQUARE FEET,Numeric,,10,2,Square footage of the part of the building which is level with the ground (typically the front of the building). This is generally above the basement(s) and below the second floor.
110,BUILDING GROSS AREA SQUARE FEET,Numeric,,10,2,This is the square footage for the entire building. Typically this represents all square feet under the roof.
111,BUILDING ADJUSTED AREA SQUARE FEET,Numeric,,10,2,"This is the square footage used by the county or local taxing / assessment authority to determine Improvement Value. This figure is typically 100% of the living area, plus lower percentage of non-living area."
112,BASEMENT AREA SQUARE FEET,Numeric,,10,2,This is the total square footage associated with the Basement portion of a building. This would include both finished and unfinished areas.
113,GARAGE OR PARKING SQUARE FEET,Numeric,,13,3,This is the total square footage of the primary garage or parking area.
PARCEL ESSENTIALS STRUCTURE AGE,,,,,,
114,YEAR BUILT,Numeric,,4,,This is the construction year of the original building on the parcel as provided by the county.  Not all counties maintain both Original and Effective Year Built. Null if not available from the source.  Format: YYYY
115,EFFECTIVE YEAR BUILT,Numeric,,4,,"Typically this field reflects the first year the building was assessed with its current components (e.g., a building is originally constructed in 1960 and a bedroom and bath was added to the building in 1974. In this example, Year Built would be 1960 and the Effective Year Built would be 1974).   Certain counties only maintain one Year Built data element, and overlay Original Year Built with Effective Year Built if there was a structural change to the building that affected Assessed Value.  In these counties, Year Built will be null and Effective Year Built will contain the single data element provided by the source - examples include Fresno and San Diego counties.  Format: YYYY"
PARCEL ESSENTIALS STRUCTURE ROOMS,,,,,,
116,TOTAL NUMBER OF BEDROOMS - ALL BUILDINGS,Numeric,,5,,CoreLogic calculated total bedrooms for all the buildings on the property.
117,TOTAL NUMBER OF ROOMS - ALL BUILDINGS,Numeric,,5,,Total number of rooms as supplied by the source.
